Date,County,ED Visit Count,Hospitalization Count
3/1/2020,Adams,1,1
3/2/2020,Adams,0,1
3/3/2020,Adams,0,0
3/4/2020,Adams,1,0
3/5/2020,Adams,0,0
3/6/2020,Adams,2,0
3/7/2020,Adams,2,1
3/8/2020,Adams,1,2
3/9/2020,Adams,2,0
3/10/2020,Adams,1,0
3/11/2020,Adams,3,1
3/12/2020,Adams,3,2
3/13/2020,Adams,0,1
3/14/2020,Adams,2,0
3/15/2020,Adams,0,0
3/16/2020,Adams,2,0
3/17/2020,Adams,3,0
3/18/2020,Adams,4,1
3/19/2020,Adams,0,0
3/20/2020,Adams,0,0
3/21/2020,Adams,0,0
3/22/2020,Adams,0,0
3/23/2020,Adams,1,0
3/24/2020,Adams,1,0
3/25/2020,Adams,1,0
3/26/2020,Adams,0,0
3/27/2020,Adams,1,0
3/28/2020,Adams,0,0
3/29/2020,Adams,0,1
3/30/2020,Adams,0,0
3/31/2020,Adams,0,1
4/1/2020,Adams,0,0
4/2/2020,Adams,0,0
4/3/2020,Adams,0,0
4/4/2020,Adams,0,0
4/5/2020,Adams,0,0
4/6/2020,Adams,2,0
4/7/2020,Adams,2,1
4/8/2020,Adams,0,1
4/9/2020,Adams,0,0
4/10/2020,Adams,2,0
4/11/2020,Adams,2,0
4/12/2020,Adams,0,0
4/13/2020,Adams,0,0
4/14/2020,Adams,1,1
4/15/2020,Adams,0,0
4/16/2020,Adams,0,0
4/17/2020,Adams,0,0
4/18/2020,Adams,0,0
4/19/2020,Adams,0,0
4/20/2020,Adams,0,0
4/21/2020,Adams,1,0
4/22/2020,Adams,0,0
4/23/2020,Adams,0,0
4/24/2020,Adams,0,0
4/25/2020,Adams,0,0
4/26/2020,Adams,0,0
4/27/2020,Adams,0,0
4/28/2020,Adams,0,0
4/29/2020,Adams,1,0
4/30/2020,Adams,0,0
5/1/2020,Adams,0,0
5/2/2020,Adams,0,0
5/3/2020,Adams,0,0
5/4/2020,Adams,1,0
5/5/2020,Adams,1,0
5/6/2020,Adams,0,0
5/7/2020,Adams,0,1
5/8/2020,Adams,0,0
5/9/2020,Adams,0,0
5/10/2020,Adams,0,0
5/11/2020,Adams,0,0
5/12/2020,Adams,1,0
5/13/2020,Adams,1,0
5/14/2020,Adams,0,0
5/15/2020,Adams,0,0
5/16/2020,Adams,1,0
5/17/2020,Adams,0,0
5/18/2020,Adams,1,1
5/19/2020,Adams,0,0
5/20/2020,Adams,1,0
5/21/2020,Adams,0,0
5/22/2020,Adams,1,0
5/23/2020,Adams,0,0
5/24/2020,Adams,0,0
5/25/2020,Adams,1,1
5/26/2020,Adams,1,1
5/27/2020,Adams,0,0
5/28/2020,Adams,3,1
5/29/2020,Adams,1,0
5/30/2020,Adams,0,0
5/31/2020,Adams,0,0
6/1/2020,Adams,1,0
6/2/2020,Adams,3,1
6/3/2020,Adams,0,0
6/4/2020,Adams,0,0
6/5/2020,Adams,0,0
6/6/2020,Adams,0,0
6/7/2020,Adams,1,0
6/8/2020,Adams,0,0
6/9/2020,Adams,0,1
6/10/2020,Adams,1,0
6/11/2020,Adams,2,1
6/12/2020,Adams,0,0
6/13/2020,Adams,0,0
6/14/2020,Adams,1,0
6/15/2020,Adams,0,1
6/16/2020,Adams,0,0
6/17/2020,Adams,0,0
6/18/2020,Adams,0,0
6/19/2020,Adams,1,0
6/20/2020,Adams,2,0
6/21/2020,Adams,0,0
6/22/2020,Adams,1,0
6/23/2020,Adams,0,1
6/24/2020,Adams,1,0
6/25/2020,Adams,3,1
6/26/2020,Adams,2,0
6/27/2020,Adams,1,1
6/28/2020,Adams,0,1
6/29/2020,Adams,1,0
6/30/2020,Adams,2,0
7/1/2020,Adams,2,1
7/2/2020,Adams,0,0
7/3/2020,Adams,0,0
7/4/2020,Adams,0,0
7/5/2020,Adams,0,0
7/6/2020,Adams,2,1
7/7/2020,Adams,0,0
7/8/2020,Adams,1,0
7/9/2020,Adams,0,0
7/10/2020,Adams,1,1
7/11/2020,Adams,0,0
7/12/2020,Adams,0,0
7/13/2020,Adams,0,1
7/14/2020,Adams,2,1
7/15/2020,Adams,1,1
7/16/2020,Adams,2,0
7/17/2020,Adams,0,1
7/18/2020,Adams,2,0
7/19/2020,Adams,0,0
7/20/2020,Adams,1,0
7/21/2020,Adams,1,0
7/22/2020,Adams,0,1
7/23/2020,Adams,0,1
7/24/2020,Adams,0,0
7/25/2020,Adams,0,1
7/26/2020,Adams,2,0
7/27/2020,Adams,3,0
7/28/2020,Adams,2,1
7/29/2020,Adams,0,0
7/30/2020,Adams,0,0
7/31/2020,Adams,1,0
8/1/2020,Adams,0,0
8/2/2020,Adams,0,0
8/3/2020,Adams,0,0
8/4/2020,Adams,1,0
8/5/2020,Adams,2,0
8/6/2020,Adams,0,0
8/7/2020,Adams,0,0
8/8/2020,Adams,0,1
8/9/2020,Adams,2,1
8/10/2020,Adams,1,0
8/11/2020,Adams,0,0
8/12/2020,Adams,4,1
8/13/2020,Adams,0,2
8/14/2020,Adams,1,0
8/15/2020,Adams,1,0
8/16/2020,Adams,0,1
8/17/2020,Adams,0,0
8/18/2020,Adams,0,0
8/19/2020,Adams,0,0
8/20/2020,Adams,2,1
8/21/2020,Adams,0,0
8/22/2020,Adams,0,0
8/23/2020,Adams,1,0
8/24/2020,Adams,2,1
8/25/2020,Adams,0,0
8/26/2020,Adams,1,2
8/27/2020,Adams,3,1
8/28/2020,Adams,1,0
8/29/2020,Adams,3,2
8/30/2020,Adams,0,0
8/31/2020,Adams,2,0
9/1/2020,Adams,2,1
9/2/2020,Adams,0,0
9/3/2020,Adams,3,0
9/4/2020,Adams,1,0
9/5/2020,Adams,1,0
9/6/2020,Adams,0,0
9/7/2020,Adams,1,2
9/8/2020,Adams,3,0
9/9/2020,Adams,1,0
9/10/2020,Adams,1,2
9/11/2020,Adams,2,0
9/12/2020,Adams,1,0
9/13/2020,Adams,2,0
9/14/2020,Adams,0,0
9/15/2020,Adams,1,2
9/16/2020,Adams,1,1
9/17/2020,Adams,0,0
9/18/2020,Adams,1,0
9/19/2020,Adams,2,1
9/20/2020,Adams,2,0
9/21/2020,Adams,1,1
9/22/2020,Adams,1,1
9/23/2020,Adams,0,1
9/24/2020,Adams,1,4
9/25/2020,Adams,1,3
9/26/2020,Adams,0,0
9/27/2020,Adams,0,1
9/28/2020,Adams,2,1
9/29/2020,Adams,0,3
9/30/2020,Adams,0,1
10/1/2020,Adams,2,1
10/2/2020,Adams,5,1
10/3/2020,Adams,1,1
10/4/2020,Adams,0,0
10/5/2020,Adams,0,1
10/6/2020,Adams,1,0
10/7/2020,Adams,1,0
10/8/2020,Adams,1,0
10/9/2020,Adams,1,1
10/10/2020,Adams,2,0
10/11/2020,Adams,0,4
10/12/2020,Adams,4,4
10/13/2020,Adams,3,0
10/14/2020,Adams,2,0
10/15/2020,Adams,1,0
10/16/2020,Adams,3,2
10/17/2020,Adams,2,1
10/18/2020,Adams,0,1
10/19/2020,Adams,4,1
10/20/2020,Adams,1,0
10/21/2020,Adams,2,1
10/22/2020,Adams,3,2
10/23/2020,Adams,6,0
10/24/2020,Adams,4,1
10/25/2020,Adams,2,1
10/26/2020,Adams,1,0
10/27/2020,Adams,4,2
10/28/2020,Adams,4,1
10/29/2020,Adams,1,0
10/30/2020,Adams,3,0
10/31/2020,Adams,3,2
11/1/2020,Adams,0,1
11/2/2020,Adams,3,0
11/3/2020,Adams,4,3
11/4/2020,Adams,3,1
11/5/2020,Adams,6,3
11/6/2020,Adams,1,2
11/7/2020,Adams,8,3
11/8/2020,Adams,8,3
11/9/2020,Adams,7,0
11/10/2020,Adams,5,3
11/11/2020,Adams,5,1
11/12/2020,Adams,4,3
11/13/2020,Adams,3,2
11/14/2020,Adams,3,2
11/15/2020,Adams,8,2
11/16/2020,Adams,4,1
11/17/2020,Adams,4,1
11/18/2020,Adams,4,3
11/19/2020,Adams,4,4
11/20/2020,Adams,4,2
11/21/2020,Adams,1,0
11/22/2020,Adams,1,1
11/23/2020,Adams,7,3
11/24/2020,Adams,2,2
11/25/2020,Adams,3,0
11/26/2020,Adams,2,1
11/27/2020,Adams,4,1
11/28/2020,Adams,2,1
11/29/2020,Adams,2,1
3/1/2020,Allen,4,1
3/2/2020,Allen,6,1
3/3/2020,Allen,2,2
3/4/2020,Allen,0,1
3/5/2020,Allen,0,1
3/6/2020,Allen,5,2
3/7/2020,Allen,1,1
3/8/2020,Allen,2,0
3/9/2020,Allen,4,1
3/10/2020,Allen,2,2
3/11/2020,Allen,6,3
3/12/2020,Allen,7,2
3/13/2020,Allen,2,1
3/14/2020,Allen,1,3
3/15/2020,Allen,1,3
3/16/2020,Allen,1,1
3/17/2020,Allen,2,0
3/18/2020,Allen,2,2
3/19/2020,Allen,3,3
3/20/2020,Allen,3,0
3/21/2020,Allen,4,2
3/22/2020,Allen,6,4
3/23/2020,Allen,4,1
3/24/2020,Allen,4,4
3/25/2020,Allen,2,2
3/26/2020,Allen,3,3
3/27/2020,Allen,7,5
3/28/2020,Allen,5,6
3/29/2020,Allen,4,2
3/30/2020,Allen,3,6
3/31/2020,Allen,2,1
4/1/2020,Allen,5,2
4/2/2020,Allen,4,3
4/3/2020,Allen,5,3
4/4/2020,Allen,6,0
4/5/2020,Allen,4,2
4/6/2020,Allen,5,3
4/7/2020,Allen,3,3
4/8/2020,Allen,5,3
